Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures - Salary (Z32) per Pupil (V33) [District Finance] 2016-17
AMERICAN HERITAGE CHARTER SCHOOL INC.,Idaho,1600162,3623
AMERICAN INTERNATIONAL ACADEMY,Michigan,2600986,0
AMERICAN INTERNATIONAL SCHOOL OF UTAH,Utah,4900172,2277
AMERICAN LEADERSHIP ACADEMY,Utah,4900033,3350
AMERICAN LEADERSHIP ACADEMY INC. (4348),Arizona,400112,2757
AMERICAN LEADERSHIP ACADEMY-COASTAL,NORTH CAROLINA,3700412,†
AMERICAN MONTESSORI ACADEMY,Michigan,2600312,0
AMERICAN PREPARATORY ACADEMY,Utah,4900005,3224
AMERICAN RENAISSANCE SCHOOL,North Carolina,3700086,4261
AMERICAN VIRTUAL ACADEMY (79461),Arizona,400329,1745
AMERY SCHOOL DISTRICT,Wisconsin,5500300,7053
AMES COMM SCHOOL DISTRICT,Iowa,1903540,7529
AMESBURY,Massachusetts,2501860,9743
AMHERST,Massachusetts,2501890,14741
AMHERST CENTRAL SCHOOL DISTRICT,New York,3602920,10521
AMHERST COUNTY PUBLIC SCHOOLS,Virginia,5100210,7057
AMHERST EXEMPTED VILLAGE,Ohio,3904519,5782
AMHERST ISD,Texas,4808160,7584
AMHERST PUBLIC SCHOOLS,Nebraska,3100070,5693
AMHERST SAU OFFICE,New Hampshire,3399939,†
AMHERST SCHOOL DISTRICT,New Hampshire,3301470,10056
AMHERST-PELHAM,Massachusetts,2501920,13555
AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,Texas,4800113,5166
AMISTAD ACADEMY DISTRICT,Connecticut,900024,6610
AMITE COUNTY SCHOOL DISTRICT,Mississippi,2800420,6175
AMITY SD 4J,Oregon,4101230,4863
AMITYVILLE UNION FREE SCHOOL DISTRICT,New York,3602940,15414
AMORY SCHOOL DIST,Mississippi,2800450,4521
AMPHITHEATER UNIFIED DISTRICT (4406),Arizona,400680,4897
AMSTERDAM CITY SCHOOL DISTRICT,New York,3602970,9058
AMSTERDAM ELEM,Montana,3001980,4708
AMY BIEHL CHARTER HIGH SCHOOL,New Mexico,3500131,7654
ANACONDA ELEM,Montana,3002010,6762
ANACONDA H S,Montana,3002030,5942
ANACORTES SCHOOL DISTRICT,Washington,5300150,7479
ANADARKO,Oklahoma,4003000,4901
ANAHEIM ELEMENTARY,California,602610,7530
ANAHEIM UNION HIGH,California,602630,6963
ANAHUAC ISD,Texas,4808190,6349
ANAMOOSE 14,North Dakota,3801950,9753
ANAMOSA COMM SCHOOL DISTRICT,Iowa,1903570,7062
ANCHOR BAY SCHOOL DISTRICT,Michigan,2602790,5080
ANCHORAGE INDEPENDENT,Kentucky,2100090,11030
ANCHORAGE SCHOOL DISTRICT,Alaska,200180,7822
ANDALUSIA CITY,Alabama,100060,4767
ANDERSON,Oklahoma,4003010,4095
ANDERSON 01,South Carolina,4500780,4715
ANDERSON 02,South Carolina,4500810,4877
ANDERSON 03,South Carolina,4500840,5533
ANDERSON 04,South Carolina,4500870,6400
ANDERSON 05,South Carolina,4500900,5615
ANDERSON 80,South Carolina,4500760,†
ANDERSON COMMUNITY SCHOOL CORP,Indiana,1800150,4712
ANDERSON COUNTY,Kentucky,2100120,5019
ANDERSON COUNTY,Tennessee,4700090,6008
ANDERSON CREEK ACADEMY,North Carolina,3700381,3765
ANDERSON ELEM,Montana,3002070,6209
ANDERSON PREPARATORY ACADEMY,Indiana,1800077,4755
ANDERSON UNION HIGH,California,602700,6189
ANDERSON VALLEY UNIFIED,California,602730,8724
ANDERSON-SHIRO CISD,Texas,4808230,6201
ANDES CENTRAL SCHOOL DISTRICT,New York,3603000,19514
ANDES CENTRAL SCHOOL DISTRICT 11-1,South Dakota,4639540,8460
ANDOVER,Kansas,2003360,3211
ANDOVER,Massachusetts,2501950,10904
ANDOVER CENTRAL SCHOOL DISTRICT,New York,3603030,12903
ANDOVER PUBLIC SCHOOLS,MAINE,2314823,5429
ANDOVER REGIONAL SCHOOL DISTRICT,New Jersey,3400900,12705
ANDOVER SCHOOL DISTRICT,Vermont,5000023,†
ANDOVER SCHOOL DISTRICT,New Hampshire,3301500,5788
ANDOVER SCHOOL DISTRICT,Connecticut,900030,12129
ANDREW COMM SCHOOL DISTRICT,Iowa,1903630,5489
ANDREW J BROWN ACADEMY,Indiana,1800042,0
ANDREWS ISD,Texas,4808280,6471
ANGLETON ISD,Texas,4808310,6052
ANIMAS,New Mexico,3500090,8622
ANKENY COMM SCHOOL DISTRICT,Iowa,1903690,6178
ANN ARBOR LEARNING COMMUNITY,Michigan,2600222,0
ANN ARBOR PUBLIC SCHOOLS,Michigan,2602820,6603
ANN JERKINS-HARRIS ACADEMY OF EXCELLENCE,Ohio,3901502,3852
ANNA CCSD 37,Illinois,1703750,5138
ANNA ISD,Texas,4808340,6016
ANNA JONESBORO CHSD 81,Illinois,1703780,5274
ANNA LOCAL,Ohio,3910004,5805
ANNANDALE PUBLIC SCHOOL DISTRICT,Minnesota,2703150,6369
ANNAWAN CUSD 226,Illinois,1703810,6785
ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,Maryland,2400060,9264
ANNETTE ISLAND SCHOOL DISTRICT,Alaska,200525,12978
ANNEX SD 29,Oregon,4101350,5750
ANNISTON CITY,Alabama,100090,5900
ANNVILLE-CLEONA SD,Pennsylvania,4202490,6439
ANOKA-HENNEPIN SCHOOL DISTRICT,Minnesota,2703180,7797
ANOTHER CHOICE VIRTUAL CHARTER SCHOOL INC.,Idaho,1600155,3908
ANSELMO-MERNA PUBLIC SCHOOLS,Nebraska,3100010,6789
ANSLEY PUBLIC SCHOOLS,Nebraska,3103060,10469
ANSON COUNTY SCHOOLS,North Carolina,3700180,6079
ANSON ISD,Texas,4808400,6700
ANSONIA LOCAL,Ohio,3904662,5872
ANSONIA SCHOOL DISTRICT,Connecticut,900060,8324
ANTELOPE ELEMENTARY,California,602760,5841
ANTELOPE UNION HIGH SCHOOL DISTRICT (4506),Arizona,400720,6959
ANTELOPE VALLEY ROP,California,600112,†
ANTELOPE VALLEY SCHOOLS TRANSPORTATION AGENCY,California,601363,†
ANTELOPE VALLEY UNION HIGH,California,602820,6934
ANTHEM PREPARATORY ACADEMY (90532),Arizona,400819,3796
ANTHONY CHARTER SCHOOL,New Mexico,3500161,6131
ANTHONY ISD,Texas,4808430,6770
ANTHONY WAYNE LOCAL,Ohio,3904820,5964
ANTIETAM SD,Pennsylvania,4202480,7360
ANTIGO UNIFIED SCHOOL DISTRICT,Wisconsin,5500360,6018
ANTIOCH CCSD 34,Illinois,1703840,6985
ANTIOCH UNIFIED,California,602850,6605
ANTLERS,Oklahoma,4003060,4362
ANTON ISD,Texas,4808460,6329
ANTONIA PANTOJA COMMUNITY CS,Pennsylvania,4200813,5574
ANTWERP LOCAL,Ohio,3904899,5306
ANW SPECIAL EDUCATION COOPERATIVE,Kansas,2000048,†
APACHE COUNTY SHERIFF'S OFFICE (79547),Arizona,400837,†
APACHE ELEMENTARY DISTRICT (4178),Arizona,400750,38333
APACHE JUNCTION UNIFIED DISTRICT (4443),Arizona,400790,4309
APEX ACADEMY,Ohio,3900309,0
APEX COLLEGIATE ACADEMY CHARTER SCHOOL,LOUISIANA,2200273,4809
APLINGTON-PARKERSBURG COMM SCHOOL DISTRICT,Iowa,1903750,6575
APOLLO,Ohio,3905077,†
APOLLO-RIDGE SD,Pennsylvania,4202550,7396
APPALACHIA IU 8,Pennsylvania,4289180,†
APPLE CREEK 39,North Dakota,3802014,3880
APPLE SPRINGS ISD,Texas,4808490,8214
APPLE VALLEY UNIFIED,California,600017,5217
APPLETON AREA SCHOOL DISTRICT,Wisconsin,5500390,5888
APPLETON CITY R-II,Missouri,2903120,6340
APPLETON PUBLIC SCHOOLS,Maine,2302510,8888
APPLETREE EARLY LEARNING PCS,District of Columbia,1100054,12369
APPLING COUNTY,Georgia,1300060,6042
APPOMATTOX COUNTY PUBLIC SCHOOLS,Virginia,5100240,5828
APPOMATTOX REGIONAL GOVERNOR'S SCHOOL,Virginia,5100032,†
APPOQUINIMINK SCHOOL DISTRICT,Delaware,1000080,6702
APRENDER TUCSON (79426),Arizona,400318,5345
APTAKISIC-TRIPP CCSD 102,Illinois,1703900,9467
AQUILLA ISD,Texas,4808520,5842
AR-WE-VA COMM SCHOOL DISTRICT,Iowa,1903780,5645
ARAB CITY,Alabama,100100,5342
ARANSAS PASS ISD,Texas,4808580,6509
ARAPAHO-BUTLER,Oklahoma,4003120,4612
ARAPAHOE 1 ENGLEWOOD AU,Colorado,800273,†
ARAPAHOE 2 SHERIDAN AU,Colorado,800228,†
ARAPAHOE 5 CHERRY CREEK AU,Colorado,800247,†
ARAPAHOE 6 LITTLETON AU,Colorado,800224,†
ARAPAHOE CHARTER SCHOOL,North Carolina,3700038,6407
ARAPAHOE PUBLIC SCHOOLS,Nebraska,3103090,6934
ARBON ELEMENTARY DISTRICT,Idaho,1600090,7286
ARBOR ACADEMY,Michigan,2600181,0
ARBOR PARK SD 145,Illinois,1703930,5898
ARBOR PREPARATORY HIGH SCHOOL,Michigan,2600989,0
ARCADIA CHARTER SCHOOL,Minnesota,2700355,8056
ARCADIA LOCAL,Ohio,3910002,6066
ARCADIA PUBLIC SCHOOLS,Nebraska,3103120,10826
ARCADIA SCHOOL DISTRICT,Wisconsin,5500420,6528
ARCADIA UNIFIED,California,602970,7063
ARCADIA VALLEY R-II,Missouri,2903150,6744
ARCANUM-BUTLER LOCAL,Ohio,3904663,5220
ARCATA ELEMENTARY,California,603000,6588
ARCH FORD EDUC. SERVICE COOP,Arkansas,500011,†
ARCHBOLD-AREA LOCAL,Ohio,3904704,5931
ARCHER CITY ISD,Texas,4808610,7329
ARCHIE R-V,Missouri,2903200,5241
ARCHULETA COUNTY SCHOOL DISTRICT NO. 50 JT,Colorado,802190,4813
ARCHWAY CLASSICAL ACADEMY ARETE (92312),Arizona,400888,3497
ARCHWAY CLASSICAL ACADEMY CHANDLER (90917),Arizona,400834,3645
ARCHWAY CLASSICAL ACADEMY CICERO (92314),Arizona,400886,3411
ARCHWAY CLASSICAL ACADEMY GLENDALE (91878),Arizona,400866,3886
ARCHWAY CLASSICAL ACADEMY LINCOLN (92656),ARIZONA,400925,3789
ARCHWAY CLASSICAL ACADEMY NORTH PHOENIX (91758),Arizona,400873,4143
ARCHWAY CLASSICAL ACADEMY SCOTTSDALE (90857),Arizona,400841,3909
ARCHWAY CLASSICAL ACADEMY TRIVIUM WEST (90915),Arizona,400832,3449
ARCHWAY CLASSICAL ACADEMY VERITAS (90916),Arizona,400833,3765
ARCOHE UNION ELEMENTARY,California,603060,5492
ARCOLA CUSD 306,Illinois,1703960,5906
ARDMORE,Oklahoma,4003180,4679
ARDSLEY UNION FREE SCHOOL DISTRICT,New York,3603180,17074
AREA 30 CAREER CENTER EDU INTER,Indiana,1800034,†
AREA COOPERATIVE EDUCATIONAL SERVICES,Connecticut,900070,†
AREA SPECIAL EDUCATION COOPERATIVE,Minnesota,2700050,†
AREA VOCATIONAL TECHNICAL SCHOOL DISTRICT OF MERCER COUNTY,New Jersey,3409950,40343
ARENA UNION ELEMENTARY,California,603090,†
ARENA UNION ELEMENTARY/POINT ARENA JOINT UNION HIGH,California,601325,9208
ARENAC EASTERN SCHOOL DISTRICT,Michigan,2603060,6153
ARETE PREPARATORY ACADEMY (89486),Arizona,400757,4064
ARGENTA-OREANA CUSD 1,Illinois,1703990,4520
ARGO CHSD 217,Illinois,1704020,10116
ARGONIA PUBLIC SCHOOLS,Kansas,2003430,6753
ARGOS COMMUNITY SCHOOLS,Indiana,1800180,4833
ARGOSY COLLEGIATE CHARTER SCHOOL (DISTRICT),MASSACHUSETTS,2500552,6674
ARGYLE CENTRAL SCHOOL DISTRICT,New York,3603210,12333
ARGYLE ISD,Texas,4808670,6187
ARGYLE SCHOOL DISTRICT,Wisconsin,5500450,6095
ARICKAREE SCHOOL DISTRICT NO. R-2,Colorado,802220,8464
ARIN IU 28,Pennsylvania,4289380,†
ARISE ACADEMY,LOUISIANA,2200212,6819
ARISE ACADEMY CHARTER HIGH SCHOOL,Pennsylvania,4200823,†
ARISTOI CLASSICAL ACADEMY,Texas,4800019,4626
ARISTOTLE ACADEMY,Utah,4900154,5292
ARIZONA ACADEMY OF SCIENCE AND TECHNOLOGY INC. (6378),Arizona,400164,3408
ARIZONA AGRIBUSINESS & EQUINE CENTER INC. (4331),Arizona,400106,3003
ARIZONA AGRIBUSINESS & EQUINE CENTER INC. (85816),Arizona,400417,3418
ARIZONA AGRIBUSINESS & EQUINE CENTER INC. (87403),Arizona,400426,4124
ARIZONA AGRIBUSINESS & EQUINE CENTER INC. (90779),Arizona,400828,2890
ARIZONA AGRIBUSINESS & EQUINE CENTER INC. (91131),Arizona,400838,3486
ARIZONA AUTISM CHARTER SCHOOLS INC. (91958),ARIZONA,400913,13642
ARIZONA CENTER FOR YOUTH RESOURCES (4346),Arizona,400057,6434
ARIZONA COMMUNITY DEVELOPMENT CORPORATION (79947),Arizona,400361,3411
ARIZONA CONNECTIONS ACADEMY CHARTER SCHOOL INC. (87407),Arizona,400427,1650
ARIZONA DEPARTMENT OF CORRECTIONS (8336),Arizona,400120,0
ARIZONA DEPARTMENT OF JUVENILE CORRECTIONS (8326),Arizona,409734,0
ARIZONA EDUCATION SOLUTIONS (90758),Arizona,400827,356
ARIZONA LANGUAGE PREPARATORY (92566),ARIZONA,400918,3783
ARIZONA SCHOOL FOR THE ARTS (4345),Arizona,400056,4425
ARIZONA STATE HOSPITAL (6415),Arizona,400455,†
ARIZONA STATE SCHOOLS FOR THE DEAF AND THE BLIND (6393),Arizona,400463,0
ARIZONA SUPREME COURT (9576),Arizona,400836,†
ARK. RIVER EDUC  SERVICE COOP,Arkansas,500024,†
ARK. SCHOOL FOR THE BLIND,Arkansas,500035,0
ARK. SCHOOL FOR THE DEAF,Arkansas,500036,0
ARKADELPHIA SCHOOL DISTRICT,Arkansas,502430,6446
ARKANSAS ARTS ACADEMY,Arkansas,500055,4308
ARKANSAS CITY,Kansas,2003450,5237
ARKANSAS CONNECTIONS ACADEMY,ARKANSAS,500417,1708
ARKANSAS CORRECTIONAL SCHOOLS,Arkansas,500025,†
ARKANSAS LIGHTHOUSE CHARTER SCHOOLS,Arkansas,500402,3916
ARKANSAS NORTHEASTERN COLLEGE TECHNICAL CENTER,Arkansas,500080,†
ARKANSAS VIRTUAL ACADEMY,Arkansas,500394,1350
ARKOMA,Oklahoma,4003210,4055
ARKPORT CENTRAL SCHOOL DISTRICT,New York,3603240,11115
ARLEE ELEM,Montana,3002220,8427
ARLEE H S,Montana,3002250,8697
ARLINGTON,TENNESSEE,4700152,4682
ARLINGTON,Massachusetts,2501980,9043
ARLINGTON CENTRAL SCHOOL DISTRICT,New York,3603270,12678
ARLINGTON CLASSICS ACADEMY,Texas,4800158,4791
ARLINGTON COUNTY PUBLIC SCHOOLS,Virginia,5100270,13055
ARLINGTON ELEMENTARY DISTRICT (4274),Arizona,400840,6027
ARLINGTON HEIGHTS SD 25,Illinois,1704140,8411
ARLINGTON ISD,Texas,4808700,6678
ARLINGTON LOCAL,Ohio,3904742,6113
ARLINGTON PUBLIC SCHOOLS,Nebraska,3103130,7619
ARLINGTON SCHOOL DISTRICT,Vermont,5001830,9490
ARLINGTON SCHOOL DISTRICT,Washington,5300240,7297
ARLINGTON SCHOOL DISTRICT 38-1,South Dakota,4603720,6333
ARLINGTON SD 3,Oregon,4101470,7739
ARMADA AREA SCHOOLS,Michigan,2603240,4678
ARMONA UNION ELEMENTARY,California,603180,4327
ARMOREL SCHOOL DISTRICT,Arkansas,502550,6374
ARMOUR SCHOOL DISTRICT 21-1,South Dakota,4603780,7457
ARMSTRONG SD,Pennsylvania,4202590,7843
ARMSTRONG TWP HSD 225,Illinois,1704230,8521
ARMSTRONG-ELLIS CONS SD 61,Illinois,1704200,11117
ARNETT,Oklahoma,4003240,7165
ARNOLD PUBLIC SCHOOLS,Nebraska,3100073,10226
AROCK SD 81,Oregon,4101500,10733
AROMAS - SAN JUAN UNIFIED,California,691136,6034
ARP ISD,Texas,4808730,7247
ARRIBA-FLAGLER CONSOLIDATED SCHOOL DISTRICT NO. 20,Colorado,802260,5970
ARROW ACADEMY,Texas,4801416,6458
ARROWHEAD ELEM,Montana,3002300,8261
ARROWHEAD UHS SCHOOL DISTRICT,Wisconsin,5506180,6350
ART AND SCIENCE ACADEMY,Minnesota,2700397,6328
ARTESIA,New Mexico,3500120,5433
ARTHUR ASHE CHARTER SCHOOL,LOUISIANA,2200192,5871
ARTHUR COUNTY SCHOOLS,Nebraska,3103210,12175
ARTHUR CUSD 305,Illinois,1704260,5511
ARTHUR R. GOULD SCH--LCYDC,Maine,2300050,0
ARTS & COLLEGE PREPARATORY ACADEMY,Ohio,3900223,4087
ARTS ACADEMY AT SCOTTSDALE INC. (91053),Arizona,400848,4015
ARTS ACADEMY CS,Pennsylvania,4200860,5587
ARTS ACADEMY ELEMENTARY CS,PENNSYLVANIA,4200883,5475
ARTS ACADEMY IN THE WOODS,Michigan,2600273,3576
ARTS ACADEMY OF NEW HAMPSHIRE CHARTERED PUBLIC HIGH SCHOOL,New Hampshire,3303296,†
ARTS AND TECHNOLOGY ACADEMY OF PONTIAC,Michigan,2600267,0
ARTS BASED SCHOOL,North Carolina,3700126,4499
ARTSPACE CHARTER,North Carolina,3700117,5478
ARVIN UNION,California,603270,6793
ARVON TOWNSHIP SCHOOL DISTRICT,Michigan,2603270,10667
ASBURY PARK SCHOOL DISTRICT,New Jersey,3400930,15855
ASCENSION PARISH,Louisiana,2200090,5814
ASCENT ACADEMIES OF UTAH,Utah,4900174,2833
ASH CREEK ELEMENTARY DISTRICT (4187),Arizona,400870,17133
ASH FORK JOINT UNIFIED DISTRICT (4471),Arizona,400910,5690
ASH GROVE R-IV,Missouri,2903270,4841
ASHBURNHAM-WESTMINSTER,Massachusetts,2502040,8051
ASHBY PUBLIC SCHOOL DISTRICT,Minnesota,2703300,6419
ASHDOWN SCHOOL DISTRICT,Arkansas,502580,5464
ASHE COUNTY SCHOOLS,North Carolina,3700210,6241
ASHE COUNTY TRAC,North Carolina,3700168,†
ASHEBORO CITY SCHOOLS,North Carolina,3700240,5798
ASHER,Oklahoma,4003300,4116
ASHEVILLE CITY SCHOOLS,North Carolina,3700270,7104
ASHFORD SCHOOL DISTRICT,Connecticut,900090,12155
ASHLAND,Kansas,2003510,7985
ASHLAND,Massachusetts,2502100,9674
ASHLAND CITY,Ohio,3904350,5536
ASHLAND COUNTY COMMUNITY ACADEMY,Ohio,3901350,0
ASHLAND COUNTY-WEST HOLMES JOINT VOCATIONAL SCHOOL,Ohio,3906204,†
ASHLAND ELEM,Montana,3000008,11333
ASHLAND INDEPENDENT,Kentucky,2100150,5911
ASHLAND SCHOOL DISTRICT,Wisconsin,5500510,6301
ASHLAND SCHOOL DISTRICT,New Hampshire,3301560,9121
ASHLAND SD 5,Oregon,4101560,5659
ASHLAND-GREENWOOD PUBLIC SCHS,Nebraska,3100034,6279
ASHLEY 9,North Dakota,3802170,9079
ASHLEY CCSD 15,Illinois,1704340,3692
ASHLEY COMMUNITY SCHOOLS,Michigan,2603480,4875
ASHTABULA AREA CITY,Ohio,3904351,5484
ASHTABULA COUNTY ESC,Ohio,3904584,†
ASHTABULA COUNTY TECHNICAL AND CAREER CENTER,Ohio,3905081,†
ASHTON-FRANKLIN CENTER CUSD 275,Illinois,1704380,5986
ASHWAUBENON SCHOOL DISTRICT,Wisconsin,5500540,5920
ASHWOOD SD 8,Oregon,4101590,25667
ASOTIN-ANATONE SCHOOL DISTRICT,Washington,5300280,6856
ASPEN 1 AU,COLORADO,800289,†
ASPEN ACADEMY,Minnesota,2700311,5077
ASPEN SCHOOL DISTRICT NO. 1 IN THE COUNTY OF PITKIN AND STA,Colorado,802280,9760
ASPERMONT ISD,Texas,4800006,6859
ASPIRA BILINGUAL CYBER CS,Pennsylvania,4200835,6771
ASPIRE CHARTER ACADEMY,Indiana,1800071,0
ASSABET VALLEY COLLABORATIVE,MASSACHUSETTS,2500572,†
ASSABET VALLEY REGIONAL VOCATIONAL TECHNICAL,Massachusetts,2502110,13676
ASSUMPTION PARISH,Louisiana,2200120,6274
ASTEC CHARTERS,Oklahoma,4000783,3074
ASTORIA CUSD 1,Illinois,1704440,5326
ASTORIA SD 1,Oregon,4101620,5833
ASU BEEBE REGIONAL CAREER CENTER - SEARCY,Arkansas,500056,†
ASU PREPARATORY ACADEMY (346763),ARIZONA,400946,4317
ASU PREPARATORY ACADEMY (89949),Arizona,400764,5272
ASU PREPARATORY ACADEMY (90273),Arizona,400788,5950
ASU PREPARATORY ACADEMY (91303),Arizona,400858,5711
ASU PREPARATORY ACADEMY (91305),Arizona,400859,6038
ASU PREPARATORY ACADEMY (91307),Arizona,400857,5144
ASU PREPARATORY ACADEMY (92325),Arizona,400890,4267
ASU PREPARATORY ACADEMY (92327),Arizona,400884,4347
ASU PREPARATORY ACADEMY (92716),ARIZONA,400956,5550
ASU PREPARATORY ACADEMY - CASA GRANDE (92987),ARIZONA,400947,11548
ASU THREE RIVERS CAREER CENTER,Arkansas,500054,†
ATASCADERO UNIFIED,California,603300,6515
ATCHISON CO COMM SCHOOLS,Kansas,2005700,6392
ATCHISON PUBLIC SCHOOLS,Kansas,2003540,6345
ATHENA-WESTON SD 29RJ,Oregon,4101660,5298
ATHENIAN EACADEMY,UTAH,4900181,3546
ATHENS,Tennessee,4700120,6325
ATHENS AREA SCHOOLS,Michigan,2603510,4732
ATHENS AREA SD,Pennsylvania,4202670,7982
ATHENS CITY,Alabama,100120,4316
ATHENS CITY,Ohio,3904352,7242
ATHENS CUSD 213,Illinois,1704470,4992
ATHENS ISD,Texas,4808870,5457
ATHENS PUBLIC SCHOOLS,Maine,2314817,7206
ATHENS SCHOOL DISTRICT,Wisconsin,5500570,6067
ATHENS SCHOOL DISTRICT,Vermont,5001860,†
ATHENS-MEIGS ESC,Ohio,3900091,†
ATHENS/GRAFTON CONTRACT SCHOOL DISTRICT,Vermont,5000026,†
ATHERTON COMMUNITY SCHOOLS,Michigan,2603540,3998
ATHLOS ACADEMY OF SAINT CLOUD,MINNESOTA,2700430,4263
ATHLOS ACADEMY OF UTAH,UTAH,4900189,2560
ATHLOS LEADERSHIP ACADEMY,Minnesota,2700096,4882
ATHOL-ROYALSTON,Massachusetts,2502160,8525
ATKINS SCHOOL DISTRICT,Arkansas,502610,5463
ATKINSON COUNTY,Georgia,1300090,5737
ATLANTA C-3,Missouri,2903480,7000
ATLANTA COMMUNITY SCHOOLS,Michigan,2603570,4618
ATLANTA ISD,Texas,4808880,6709
ATLANTA PUBLIC SCHOOLS,Georgia,1300120,8697
ATLANTIC CITY SCHOOL DISTRICT,New Jersey,3400960,11632
ATLANTIC COMM SCHOOL DISTRICT,Iowa,1903930,7577
ATLANTIC COMMUNITY CHARTER SCHOOL,NEW JERSEY,3400771,6055
ATLANTIC COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,3400006,†
ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT,New Jersey,3400990,9003
ATLANTIC HIGHLANDS SCHOOL DISTRICT,New Jersey,3401020,9618
ATLANTIS CHARTER (DISTRICT),Massachusetts,2500041,7708
ATMOSPHERE ACADEMY PUBLIC CHARTER SCHOOL,NEW YORK,3601138,0
ATOKA,Oklahoma,4003360,4685
ATTALA CO SCHOOL DIST,Mississippi,2800510,6248
ATTALLA CITY,Alabama,100180,5583
ATTICA,Kansas,2003570,6624
ATTICA CENTRAL SCHOOL DISTRICT,New York,3603420,11126
ATTICA CONSOLIDATED SCHOOL CORP,Indiana,1800210,4900
ATTLEBORO,Massachusetts,2502190,8229
ATWATER ELEMENTARY,California,603420,5882
ATWOOD HEIGHTS SD 125,Illinois,1704560,6185
AU GRES-SIMS SCHOOL DISTRICT,Michigan,2603600,4362
AUBREY ISD,Texas,4808910,4767
AUBURN,Massachusetts,2502220,8726
AUBURN,Ohio,3905116,†
AUBURN CITY,Alabama,100210,5278
AUBURN CITY SCHOOL DISTRICT,New York,3603480,9356
AUBURN CUSD 10,Illinois,1704620,5494
AUBURN PUBLIC SCHOOLS,Maine,2302610,6749
AUBURN PUBLIC SCHOOLS,Nebraska,3103330,7338
AUBURN SCHOOL DISTRICT,New Hampshire,3301590,4562
AUBURN SCHOOL DISTRICT,Washington,5300300,7807
AUBURN UNION ELEMENTARY,California,603480,5828
AUBURN-WASHBURN,Kansas,2003200,5928
AUBURNDALE SCHOOL DISTRICT,Wisconsin,5500600,5707
AUCHARD CREEK ELEM,Montana,3002490,8500
AUDUBON COMM SCHOOL DISTRICT,Iowa,1903960,7642
AUDUBON PUBLIC SCHOOL DISTRICT,New Jersey,3401050,9973
AUGLAIZE COUNTY EDUCATIONAL ACADEMY,Ohio,3900490,0
AUGLAIZE COUNTY ESC,Ohio,3904593,†
AUGSBURG FAIRVIEW ACADEMY,Minnesota,2700350,10111
AUGUSTA,Kansas,2003630,4772
AUGUSTA ACADEMY,MICHIGAN,2601098,0
AUGUSTA COUNTY PUBLIC SCHOOLS,Virginia,5100300,6509
AUGUSTA ELEM,Montana,3002430,6616
AUGUSTA H S,Montana,3002450,17077
AUGUSTA INDEPENDENT,Kentucky,2100180,6000
AUGUSTA PUBLIC SCHOOLS,Maine,2302640,7633
AUGUSTA SCHOOL DISTRICT,Wisconsin,5500630,7451
AUGUSTA SCHOOL DISTRICT,Arkansas,502670,6683
AURELIA COMM SCHOOL DISTRICT,Iowa,1904020,6151
AURORA ACADEMY,Ohio,3900023,3373
AURORA CHARTER SCHOOL,Minnesota,2700220,6498
AURORA CITY,Ohio,3904917,7515
AURORA EAST USD 131,Illinois,1704680,6306
AURORA JOINT DISTRICT NO. 28 OF THE COUNTIES OF ADAMS AND A,Colorado,802340,6315
AURORA PUBLIC SCHOOLS,Nebraska,3103360,7425
AURORA R-VIII,Missouri,2904020,4821
AURORA WEST USD 129,Illinois,1704710,6720
AUSABLE VALLEY CENTRAL SCHOOL DISTRICT,New York,3616170,13030
AUSTIN ACHIEVE PUBLIC SCHOOLS,Texas,4801431,5821
AUSTIN ALBERT LEA AREA SPECIAL EDUC,MINNESOTA,2700426,†
AUSTIN AREA SD,Pennsylvania,4202700,8667
AUSTIN DISCOVERY SCHOOL,Texas,4800265,5458
AUSTIN ISD,Texas,4808940,6846
AUSTIN PUBLIC SCHOOL DISTRICT,Minnesota,2703450,7536
AUSTINTOWN LOCAL SCHOOLS,Ohio,3904829,5099
AUSTWELL-TIVOLI ISD,Texas,4809000,10581
AUTAUGA COUNTY,Alabama,100240,4768
AUTISM MODEL SCHOOL,Ohio,3900022,19627
AUTRAIN-ONOTA PUBLIC SCHOOLS,Michigan,2603660,12529
AUTRY TECHNOLOGY CENTER,Oklahoma,4000061,†
AVA R-I,Missouri,2904050,5566
AVALON ISD,Texas,4809030,6757
AVALON SCHOOL,Minnesota,2700187,7843
AVALON SCHOOL DISTRICT,New Jersey,3401110,†
AVANT,Oklahoma,4003450,6508
AVELLA AREA SD,Pennsylvania,4202760,8231
AVENUE CITY R-IX,Missouri,2904080,4627
AVERILL PARK CENTRAL SCHOOL DISTRICT,New York,3600016,11239
AVERILL SCHOOL DISTRICT,Vermont,5000015,†
AVERY COUNTY SCHOOLS,North Carolina,3700300,7260
AVERY ISD,Texas,4809060,6634
AVERY SCHOOL DISTRICT,Idaho,1600150,†
AVERYS GORE SCHOOL DISTRICT,Vermont,5000016,†
AVILLA R-XIII,Missouri,2904110,4524
AVINGER ISD,Texas,4809090,8258
AVISTON SD 21,Illinois,1704740,3896
