Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures - Salary (Z32) per Pupil (V33) [District Finance] 2016-17
ALCORN SCHOOL DIST,Mississippi,2800390,5301
ALDEN CENTRAL SCHOOL DISTRICT,New York,3602550,10783
ALDEN COMM SCHOOL DISTRICT,Iowa,1900032,6206
ALDEN HEBRON SD 19,Illinois,1703300,7210
ALDEN-CONGER PUBLIC SCHOOL DISTRICT,Minnesota,2703030,6010
ALDER ELEM,Montana,3017460,5458
ALDINE ISD,Texas,4807710,7055
ALDO LEOPOLD CHARTER,New Mexico,3500138,8778
ALEDO ISD,Texas,4807780,5081
ALEGENT/IMMANUEL RTC,Nebraska,3100181,†
ALEUTIAN REGION SCHOOL DISTRICT,Alaska,200010,†
ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,Alaska,200007,14531
ALEX,Oklahoma,4002670,5517
ALEXANDER 2,North Dakota,3801760,10750
ALEXANDER CENTRAL SCHOOL DISTRICT,New York,3602580,10621
ALEXANDER CITY,Alabama,100030,5427
ALEXANDER COUNTY SCHOOLS,North Carolina,3700090,5762
ALEXANDER LOCAL,Ohio,3904590,6447
ALEXANDER PUBLIC SCHOOLS,Maine,2302280,4299
ALEXANDER VALLEY UNION ELEMENTARY,California,601890,9915
ALEXANDRIA CENTRAL SCHOOL DISTRICT,New York,3602670,10954
ALEXANDRIA CITY PUBLIC SCHOOLS,Virginia,5100120,11114
ALEXANDRIA COMMUNITY SCHOOL CORP,Indiana,1800120,4988
ALEXANDRIA PUBLIC SCHOOL DISTRICT,Minnesota,2703060,7312
ALEXANDRIA TOWNSHIP SCHOOL DISTRICT,New Jersey,3400690,12086
ALFRED-ALMOND CENTRAL SCHOOL DISTRICT,New York,3602700,10785
ALGIERS TECHNOLOGY ACADEMY,LOUISIANA,2200264,7050
ALGOMA SCHOOL DISTRICT,Wisconsin,5500150,5942
ALGONA COMM SCHOOL DISTRICT,Iowa,1903360,7062
ALGONAC COMMUNITY SCHOOL DISTRICT,Michigan,2602190,4268
ALHAMBRA ELEMENTARY DISTRICT (4280),Arizona,400600,5145
ALHAMBRA UNIFIED,California,600153,7086
ALICE ISD,Texas,4807800,5373
ALIEF ISD,Texas,4807830,7380
ALIEF MONTESSORI COMMUNITY SCHOOL,Texas,4800035,3879
ALINE-CLEO,Oklahoma,4002720,6500
ALIQUIPPA SD,Pennsylvania,4202130,7541
ALISAL UNION,California,601950,5828
ALL ABOARD CHARTER SCHOOL (79969),Arizona,400396,3767
ALLAMAKEE COMM SCHOOL DISTRICT,Iowa,1903390,6610
ALLAMUCHY TOWNSHIP SCHOOL DISTRICT,New Jersey,3400720,9856
ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,Michigan,2680100,†
ALLEGAN PUBLIC SCHOOLS,Michigan,2602220,4763
ALLEGANY COUNTY PUBLIC SCHOOLS,Maryland,2400030,10517
ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,New York,3600015,10065
ALLEGHANY COUNTY SCHOOLS,North Carolina,3700120,7110
ALLEGHANY HIGHLANDS PUBLIC SCHOOLS,Virginia,5100152,6918
ALLEGHENY IU 3,Pennsylvania,4289130,†
ALLEGHENY VALLEY SD,Pennsylvania,4202190,9171
ALLEGHENY-CLARION VALLEY SD,Pennsylvania,4202310,8115
ALLEN,Oklahoma,4002760,4582
ALLEN CONSOLIDATED SCHOOLS,Nebraska,3102880,9541
ALLEN COUNTY,Kentucky,2100070,5360
ALLEN COUNTY ESC,Ohio,3904574,†
ALLEN EAST LOCAL,Ohio,3904575,4764
ALLEN ISD,Texas,4807890,5908
ALLEN PARISH,Louisiana,2200060,6272
ALLEN PARK PUBLIC SCHOOLS,Michigan,2602520,5359
ALLEN VILLAGE,Missouri,2900025,6392
ALLEN-BOWDEN,Oklahoma,4002790,4194
ALLEN-COCHRAN ENTERPRISES INC. (4347),Arizona,400111,4381
ALLEN-OTTER CREEK CCSD 65,Illinois,1703420,8918
ALLENDALE 01,South Carolina,4500750,7653
ALLENDALE CCSD 17,Illinois,1703450,5859
ALLENDALE PUBLIC SCHOOL DISTRICT,New Jersey,3400750,10304
ALLENDALE PUBLIC SCHOOLS,Michigan,2602550,4901
ALLENSTOWN SCHOOL DISTRICT,New Hampshire,3301380,6124
ALLENSWORTH ELEMENTARY,California,601980,6872
